text,rate
"









  
  
    
  If you have a child like mine who never has a pencil to do their homework, then buy this box! Nothing makes me happier than responding to ""but I don't have a pencil"" with a nice ne pre-sharpened pencil for homework time.

  
",5.0 out of 5 stars
"









  
  
    
  A little more expensive than Dollar General pencils, but they are sharpened, which is worth it for me to prolong the life of my pencil sharpener!  The erasers are a little wobbly, but not too bad and work well enough.  They write and sharpen well.

  
",4.0 out of 5 stars
"









  
  
    
  So I would have never written a review,I mean their pencils for goodness sake. But I'm a 7 year homeschool mom so lots of pencils are great. But what makes these awesome is their ALL sharpened.omg, freaking awesome.

  
",5.0 out of 5 stars
"









  
  
    
  Came as described. I do wish the pic matched up to the product. I was in a rush when ordering and thought I was getting a lot more pencils. Again, my own fault, but I want to make sure others don’t make the same mistake.

  
",4.0 out of 5 stars
"









  
  
    
  Gave these to students in a remote village of a foreign country along with a manual pencil sharpener.  Teachers loved the pencil sharpener because their electricity is not stable.  This pack of pencils should last the students for a long time.

  
",5.0 out of 5 stars
"









  
  
    
  We bought these because my son alone needed 60 for his back to school supplies. They are great pencils, arrived in perfect condition nicely sharpened, and are a great price. Supplied both my kid's classrooms as well as he for the year and saved me all that initial sharpening time.

  
",5.0 out of 5 stars
"









  
  
    
  I mean.... it’s a pencil. They all came pre-sharpened, which was nice. But when it came to sharpening them again, that’s where some troubles came. A few of the pencil’s led wasn’t in the center, which made it unable to be sharpened. The erasers weren’t bad though.

  
",3.0 out of 5 stars
"









  
  
    
  Pencil tip breaks immediately after sharpening.  Low quality!  You will sharpen until there is just a stub of a pencil left with this product.  These pencils are useless and now I have many, many useless pencils

  
",1.0 out of 5 stars
"









  
  
    
  Sadly, these are very poor quality pencils, fragile from top to bottom. I am not a heavy-handed person and have a light frame. The first pencil I used, the tip snapped write off with normal pressure. The eraser bends. These are not solid pencils compared even to a standard pencil. I will return these pencils and pay a little more for much better quality. Sorry.

  
",2.0 out of 5 stars
"









  
  
    
  Not too bad of a purchase. The erasers aren't stiff so I really appreciated that. However, it seems like the metal doesn't grip that well on the wood and about half of the pencil's erasers fall off. I would spend a litte more just to fix that issue, but just glad the erasers themselves work great.

  
",3.0 out of 5 stars
"









  
  
    
  Great quality and value. I am a math teacher and pencils are a MUST. Some wooden pencils sharpen down to nothing or the lead keeps breaking when sharpening . These pencils are great. They sharpen to a nice point and half the pencil's not gone in the process. Would definitely buy them again.

  
",5.0 out of 5 stars
"









  
  
    
  We donated 2 boxes of these to my sons 5 teachers because he would not stop borrowing pencils from them. He still borrows pencils but at least they have a bigger stash of pencils for him and other students to borrow from.

  
",5.0 out of 5 stars
"









  
  
    
  Some came sharpened a little wonky like in the pic but they seem to be good pencils anyway. Sharpened nicely in our sharpener. No tips were broken though so that was nice. I'm sure we'll buy them again.

  
",4.0 out of 5 stars
"









  
  
    
  I live the very low cost for 12 dozen pencils.I hesitated to rate these 5 stars, because I only tested out one. It sharpened well, and did not break unusually easily. The eraser erased well. I only hope that they are all this good. I am donating them to local schools.

  
",4.0 out of 5 stars
"









  
  
    
  These are excellent pencils for the purpose for which I bought them. I bought them to give to choir members to mark their music as were rehearsed. The pencil markings can be erased and therefore do not run the music for the next use of the music.

  
",5.0 out of 5 stars
"









  
  
    
  I was a little wary because I have bought bulk pencils before and they were of low quality. This has not been the case for these AmazonBasics Pencils, and they came sharpened!  [I know it says pre-sharpened in the listing, but alas so do others and they are not.]

  
",5.0 out of 5 stars
"









  
  
    
  There certainly are a lot of pencils for the price,  but these no. 2 pencils are not as soft as most no.2 pencils that I have used. They seem as though they are no. 2+ or no. 3-. I don’t recommend them unless that is what you are looking for.

  
",2.0 out of 5 stars
"









  
  
    
  I am so glad to have found these for the value they are offering. I purchased them for my son for back to school as all us parents know those back to school supply lists have gotten outrageous 😂 but hey amazon is my number 1 stop shop for those items for reasonable prices and i have left overs so that he can have utensils at home. I will purchase more for my nieces and nephews.

  
",5.0 out of 5 stars
"









  
  
    
  Great price but using them is a pain the tips break off easily and sharpening takes while when the lead keeps breaking off

  
",1.0 out of 5 stars
"









  
  
    
  My son always goes through (estimate) 50 pencils a school year.  I bought this for this school year.  I was shocked to find this amazing dealI don't know what the price is now but I purchased in August.  It's possible it was on sale.GREAT DEAL

  
",5.0 out of 5 stars
"









  
  
    
  Honestly...not impressed. I was really hoping these would be significantly better than Walmart pencils. These break the lead a little less often but still sharpen poorly. They work....but they could still be better.

  
",3.0 out of 5 stars
"









  
  
    
  I actually gave my husband a bunch of crap when he ordered these but they have been a godsend especially with two kids in school and one in preschool. Definitely going to make him buy another set next school year.

  
",5.0 out of 5 stars
"









  
  
    
  Didn't realize these were sharpened already, so that made my daughter happy. They have to have pencils in their locker for the year and even though they are starting to go to school one day a week, having this stuff at your fingertips all set makes it so much easier on our children and parents. Thank you for making me so happy :)

  
",5.0 out of 5 stars
"









  
  
    
  These pencils are not that great.  They need to be sharpened constantly and are difficult to sharpen.  The tips break off easily.

  
",2.0 out of 5 stars
"









  
  
    
  I’m a teacher who refuses to fight the pencil battle. I order a case every pay period.They are sharpened but do not have a sharp point that children love. They sharpen well enough and the wood is no where near as poorly made as dollar store brands that my students brought in at the beginning of year.

  
",5.0 out of 5 stars
"









  
  
    
  LOOK AT PHOTOGRAPHS.....Just tape one to the top of the box. They are all perfectly sharpened and ready to use.

  
",5.0 out of 5 stars
"









  
  
    
  Their pencils and pre-sharpened, Not much else to day.  The delivery box is as shown in the review so they were easy to store and yet still get access to them.  I keep them in a drawer of my desk for students who don't have a writing implement.  Its easy to just reach in and grab one.

  
",5.0 out of 5 stars
"









  
  
    
  Won’t get these again.....the pencils are a PAIN to sharpen. I waste so much class time trying to help my students get their pencils sharpened....and it has ruined my pencil sharpener, as well, trying to get the pencils usable!

  
",1.0 out of 5 stars
"









  
  
    
  I needed a lot of pencils in my shop for woodworking projects.  It always seems that when I need a pencil, I can't find one.  So I'm done screwing around.  Found this giant box of pre-sharpened pencils, and have disbursed them throughout the shop.  I'm looking forward to NOT looking for pencils anymore.

  
",5.0 out of 5 stars
"









  
  
    
  These elegantly crafted, extremely durable, wooden writing tools, will. Rock. Your. World. Before ordering these pencils I too was like you, writing in poverty, frequent hand cramps, smudged writing, sharpening my own pencils like a neanderthal. But no more! With this 150 pack of AmazonBasics Pre-sharpened Wood Cased #2 HB Pencils you will see educational growth you've never seen before. With the speed and sharpness given by these tools you will write faster, better, and more fluently.

  
",5.0 out of 5 stars
"









  
  
    
  Now we have even more pencils for the kids to lose all over the house, and my dog thinks they make excellent chew toys. Oh and the do work for writing too, right from the box. Don't even have to sharpen them, but I suppose you already knew that because the description said so.

  
",5.0 out of 5 stars
"









  
  
    
  I absolutely HATE sharpening pencils, so when Amazon showed this to me on my phone I knew I had to try. Not much I can say as it is a pencil lol but I will say they are all sharp and it saves a lot of time. Very very convenient and I will buy again later.

  
",5.0 out of 5 stars
"









  
  
    
  I bought these for my primary school classroom and they are just okay. Noticed that when the points break they are a bit difficult to sharpen again. I’m not sure why that is.You do get a lot of pencils for the value but wasn’t as long lasting as I hoped.

  
",3.0 out of 5 stars
"









  
  
    
  These pencils did not hold up one day in a class of 3rd graders. When you erase the entire eraser falls off. Very disappointing.

  
",1.0 out of 5 stars
"









  
  
    
  These pencils write just fine.  But good luck erasing!  The erasers are a mess!!!  They do nothing more than smear grey all around.  I've had to put extra erasers on the ends that actually erase the marks.I will add that I purchased many other Amazon Basics items and they have all been great.  But these pencils just don't do it for me.

  
",2.0 out of 5 stars
"









  
  
    
  If you are a teacher, these are a must. I teach nursing and we only allow #2 pencils during exams. We have anywhere between 100 and 110 students testing at a time. These work great and I love that they are pre-sharpened.

  
",5.0 out of 5 stars
"









  
  
    
  Pencils were requested from my daughter's school.  There was a small price difference in the amount they requested and this bulk 150 pack, so I paid a little more and got many more that I knew the school could use.  They arrived already sharpened, teacher was appreciative.

  
",5.0 out of 5 stars
"









  
  
    
  I’m excited about these pencils. I’m an older person but I use pencil all the time, because it’s easier to erase my mistakes, like in my bank book, etc. I love the fact these came already sharpened. And the #2 pencil is my favorite because it’s a darker lead.

  
",5.0 out of 5 stars
"









  
  
    
  Great pencils! I love how you don't have to spend forever getting them sharpened at first. I love getting these at the beginning of the school year. Three kids in school and they lasted us all year.

  
",5.0 out of 5 stars
"









  
  
    
  These look OK when they arrive but the real problem is in sharpening them. I tried using three different electric pencil sharpeners but no matter which one I chose, the pencils would not sharpened correctly. The problem was that the lead does not run directly down the middle of the pencil so it always sharpened crooked and the lead broke off either inside the sharpener or immediately afterwards.

  
",1.0 out of 5 stars
"









  
  
    
  i got these for my kids to use at school and we love the fact that they are pre sharpen this is just awesome rushing for get to sharpen no worries already sharpen just grab and go.

  
",5.0 out of 5 stars
"









  
  
    
  I teach and you wouldn't believe how many children need pencils for one reason or another. This was so much cheaper then how I have bought them in the past. Definately worth the money. Buy some and give them to your kid's school

  
",5.0 out of 5 stars
"









  
  
    
  Last purchase was not good quality and you can't sharp the pencils when you want to and start to crack and brock.

  
",1.0 out of 5 stars
"









  
  
    
  Awesome!  So much better and cheaper than buying multiple small packs of pencils for school - all the kids done with just one box of good-quality pre-sharpened pencils!  Come ready to go!

  
",5.0 out of 5 stars
"









  
  
    
  Relative to other pencils, these are very good. So I will explain why I only gave it two stars:I purchased these because they came up as a ""try this similar Amazon item""- implying that it was comparable to Ticonderaga pencils. While they are fine pencils, they most certainly do not compare to Ticonderaga pencils which I need for a child with weaker stamina.

  
",2.0 out of 5 stars
"









  
  
    
  One reason I ordered these is because they were pre-sharpened. Unfortunately they are sharpened like golf scorecard pencils. Not sharp or tapered as expected. I am resharpening these prior to use. Disappointing.Other than that these seem to be good quality and a great value.

  
",4.0 out of 5 stars
"









  
  
    
  Great value! With 3 kids in school, this box was plenty and was able to donate to the teachers

  
",5.0 out of 5 stars
"









  
  
    
  I ordered these for my students to use in class. They work fine until the pre-sharpened point wears down. When you have to sharpen them, as one does with pencils, the graphite breaks repeatedly. One will sharpen, and sharpen, and sharpen, until the pencil is sharpened down to a nub. Worthless.

  
",1.0 out of 5 stars
"









  
  
    
  These are perfect if you have kids like mine that tend to loose multiple pencils EVERYDAY! My favorite part is that they come pre sharpened. I highly recommend these if your kids seems to mysteriously loose writing utensils like mine lol

  
",5.0 out of 5 stars
"









  
  
    
  I’m a teacher. I have 170 students. We go through pencils like we go through tissue - at an incredibly rapid pace. These pencils are perfect for my kids who come to class pencil-less, though! They’re good quality (especially for the price), the erasers work well, and having them come pre-sharpened is a game changer.

  
",5.0 out of 5 stars
"









  
  
    
  I keep pencils in a cup on my table for my students to use when I meet with them as a small group.  Because these pencils are pre-sharpened, I can see that the pencil graphite is straight inside the wood of the pencil.  If you've ever had one of those pencils that you could sharpen all day and never get to a usable point because there's always one side that's still wood, you know what I'm talking about.  These pencils don't seem to work that way.  I've got 2 more boxes in my cart to share with my department.

  
",5.0 out of 5 stars
"









  
  
    
  Drop it once, and the lead fractures inside the pencil in multiple places. Every time you sharpen it, the next piece drops out and you have to sharpen it again.

  
",1.0 out of 5 stars
"









  
  
    
  I work at a middle school and I purchased these for my students. I put them in a magnetic pencil container on my door facing for students to grab as they walk by my room.

  
",5.0 out of 5 stars
"









  
  
    
  Arrived quickly even though we were told that they wernt in stock, so that was a nice surprise! The quality is great and will be perfect for our homeschool needs!

  
",5.0 out of 5 stars
"









  
  
    
  Just like the video shows they came in good shape and sharpened. To me these hold up great and the eraser doesn’t smudge or anything TOO dramatic (even when I use cheap paper).I resharpen them to my liking as I go through them with an old fashion sharpener (not those cheap handheld ones). To me this is GREAT for your money.The left: pencil straight out of the boxThe right: pencil after I’ve sharpened it again

  
",5.0 out of 5 stars
"









  
  
    
  These are great... #2 standard pencils... they are pre-sharpened... however, they are just nubs... so you might need a bit more of a point... I purchased for a game we need lots of pencils for. They are yellow, with pink erasers on top.  I never hesitate to update my reviews should new info seem useful.

  
",5.0 out of 5 stars
"









  
  
    
  So my husband is a teacher alway is need of pencils. Plus my daughter is always “loosing” here. It very nice to have these already sharpened. Very good quality.

  
",5.0 out of 5 stars
"









  
  
    
  These were barely spawned so I had to a very long time sharpening them

  
",1.0 out of 5 stars
"









  
  
    
  I’d say these are pretty comparable to Ticonderoga. The eraser might not be quite as good, but overall, this a great, long lasting pencil. This is an affordable choice.

  
",5.0 out of 5 stars
"









  
  
    
  In a program with over 700 students, I found these pre-sharpened pencils a real bonus as far as time is concerned. It used to take forever to sharpen all the pencils at the beginning of the school year, but now they are ready to go.

  
",5.0 out of 5 stars
"









  
  
    
  Perfect for my middle school kid to make sure he has pencils every day. I send him with at least 10 pencils every day because he feels bad for the kids that have no pencils. I don't care if he never gets them back.

  
",5.0 out of 5 stars
"









  
  
    
  Purchased this for the 2019-2020 school year.  I was never informed that my son needed pencils (they don’t share) and I didn’t send the entire box too school.

  
",5.0 out of 5 stars
"









  
  
    
  The quality of these pencils are great, they are great quality, feel top quality and is a bonus that they're pre-sharpened. High cost performance!

  
",5.0 out of 5 stars
"









  
  
    
  These pencils are great for my students! Many students do not have pencils on a daily basis! I’m glad to share these fine pencils with them! No need to have a pencil sharpener! Already sharpened!

  
",5.0 out of 5 stars
"









  
  
    
  As a teacher I go through a lot of pencils. I need a quality product at a good price. These are that. They sharpen well and I’m not worried if I don’t get them back at the end of class.

  
",5.0 out of 5 stars
"









  
  
    
  Kids are officially home from school for the rest of the year & pencils seem to disappear into thin air or the pout magically is gone but this box here !!! It’ll last forever. Good point on each pencil. Worth it

  
",5.0 out of 5 stars
"









  
  
    
  These arrived so fast just in time for school supply drop off. Don’t waste your time sharpening pencils for that school supply list...for this price you can’t beat it!

  
",5.0 out of 5 stars
"









  
  
    
  Worked perfectly for my sons 3rd grade class and was more then the teacher requested.

  
",5.0 out of 5 stars
"









  
  
    
  Awful pencils. They constantly break using them and break more in the sharpener. My kids actually get frustrated using these.

  
",1.0 out of 5 stars
"









  
  
    
  When you are expected to deliver more than 144 sharpened pencils to school on day 1 this is a GREAT deal. Sturdy #2 pencils. Save on gas if you are one of those who drives around to get all the good school supply deals. Watch and this gets marked down throughout the year. WORTH WATCHING FOR and then storing for the next year!!

  
",5.0 out of 5 stars
"









  
  
    
  Let's face it, they're not the nice black ticonderoga pencils but these will do.  My wife is a schoolteacher and we stock her classroom with these for the days when kids forget to bring their own pencils.

  
",5.0 out of 5 stars
"









  
  
    
  I am not sure why other teachers have such an issue with these pencils! I find them to be perfect. I brought in 96 2 weeks ago and all 96 are still working well and not nearly half way used...and that is with being shared by 76 students every day. Their erasers are intact and they are good, reliable pencils. I am so happy I discovered them.

  
",5.0 out of 5 stars
"









  
  
    
  My 10 year old daughter loves these pencils. She loves the fact that they all have been perfectly sharpened. All arrived in tact no issues at all.

  
",5.0 out of 5 stars
"









  
  
    
  I am a Kindergarten teacher and this is the only way that I will buy pencils from now on. It saves SO MUCH time and we all know that we have so little time in the classroom, an I sure don't want to spend it sharpening pencils. The students are not allowed to sharpen pencils. That takes too much time and they have broken too many of my pencil sharpeners.

  
",5.0 out of 5 stars
"









  
  
    
  Excellent bargain, my son's teacher requested pencil donations and I had purchased these before and was very pleased with them. She was very happy for this great donation.

  
",5.0 out of 5 stars
"









  
  
    
  As a classroom teacher - I am clearly on a budget, but I cannot beat the price and quality of this product. The amount of times I hear as a middle school  ""I don't have a pencil, or I forgot it"" is endless - so this is absolutely on my teacher supply list every year. Perfect!

  
",5.0 out of 5 stars
"









  
  
    
  What I appreciate best about these pencils is the affordability and that they are pre-sharpened.  I have ordered 3 boxes in the last 3 years and each year they hold up and students comment about their quality.

  
",5.0 out of 5 stars
"









  
  
    
  The quality is better than I expected and definitely comparable with other brand product. Now I should have enough pencils for my kids.

  
",5.0 out of 5 stars
"









  
  
    
  This pencil is not good. After sharpening the point just break off keep sharpening same thing dont waste your money

  
",1.0 out of 5 stars
"









  
  
    
  Came in quick, and already sharpened.Perfect for school projects, note taking, sketching, and revenging the death of your dog.~John Wick.

  
",5.0 out of 5 stars
"









  
  
    
  These are not top quality.  The lead is apparently not centered making sharpening near impossible (see photo).

  
",3.0 out of 5 stars
"









  
  
    
  they are pencils. Not too sure what there is to like or dislike but as far as pencils go they're great. I did like it when they arrived they were sharpened.

  
",5.0 out of 5 stars
"









  
  
    
  I am an art teacher so decent and abundant pencils are kind of essential. The lead in these is constantly breaking so the pencils run out fast and time is wasted having to continuously sharpen them with fingers crossed that it won't break again. The little lead fragments are also super distracting to the little ones, or lost on the floor and end in an abstract work being created on the tiles by students slipping and sliding their chairs around - the janitors are less than impressed.. I'll be sure to spend the extra funds from now on to get some quality pencils, I'd recommend that you do the same.

  
",2.0 out of 5 stars
"









  
  
    
  Purchased these 2 years ago and loved them so I decided to buy them again only this time they came sharpened which i loved as i wasnt expecting that. Great buy

  
",5.0 out of 5 stars
"









  
  
    
  These are not worth it. I was excited to find so many pencils for such a great price for my high school classroom, but these are awful. You lose about half the length of the pencil the first time you need to sharpen it because the lead continuously falls out. Definitely worth it to spend more and get quality pencils.

  
",1.0 out of 5 stars
"









  
  
    
  Got these for the wife who needs these for school, seems to work well, no issues and good value for the money.  Has not seen any issues with them yet. Will see how they hold up, if they do good I am sure we will buy more in the future.

  
",5.0 out of 5 stars
"









  
  
    
  I was totally disappointed with this order. The picture was misleading. I expected more pencils than received. Would not recommend to anyone to purchase. Could have bought in store much cheaper.

  
",5.0 out of 5 stars
"









  
  
    
  My two grandkids needed pencils (many) for school - this was the perfect quantity and we didn't have to sharpen them.  Some of the pencils required additional sharpening but so what?

  
",5.0 out of 5 stars
"









  
  
    
  Funny how much money I am saving now that I don't have to supply pencils for my 3rd graders every week.  These are a great deal though and last well.

  
",5.0 out of 5 stars
"









  
  
    
  These pencils are made very soft. They break easy and they weren’t all sharpened.

  
",1.0 out of 5 stars
"









  
  
    
  Very nice pencils ,it came already sharpened. We got it when it is on sale ,very good deal for this amount of pencils we get !!

  
",5.0 out of 5 stars
"









  
  
    
  I'll have pencils for years, lol. This is a great value. I have 3 kids so it's very handy for back to school. And the fact that they are pre-sharpened makes their lives that much easier.

  
",5.0 out of 5 stars
"









  
  
    
  Good for having lots of pencils to hand out, lasted a long time. All were pre-sharpened, but some became difficult to sharpen later on. Good set at a good price, though, and it shipped fast. Thanks!

  
",4.0 out of 5 stars
"









  
  
    
  That is the question I get from many irresponsible middle school students. These are great to loan out, as they are pre-sharpened so one does not have to waste time accomplishing that seemingly easy feat. Not as good as the top line brand, but close enough and a better bargain.

  
",4.0 out of 5 stars
"









  
  
    
  Wow.... I am so pleased with these!!  They arrived in perfect condition, not one single tip was broken!!  Great value for the money.

  
",5.0 out of 5 stars
"









  
  
    
  My husband does a lot of work with schools. Every year he buys several cases of pencils a gives them to the schools where he’s has been working. The teachers are thrilled with this small show of appreciation.

  
",5.0 out of 5 stars
"









  
  
    
  As a teacher I was so excited to buy these pencils for my class. However,  very quickly I realized the pencils were not of good quality. The pencils are already sharpened and are good for a one time use. None of the pencils will sharpen... the lead breaks incredibly easy or the pencil just won’t sharpen.

  
",1.0 out of 5 stars
"









  
  
    
  Not entirely sure what you say about pencils.  But, the teacher that asked for them said it was a ""teacher's dream"" that they were pre-sharpened.  Definitely a good value for the number of pencils.  No complaints from the classroom.

  
",5.0 out of 5 stars
"









  
  
    
  Bought these for my daughters school and the teachers love them ! They keep asking where to get more and please email link. Great deal for a great price.

  
",5.0 out of 5 stars
"









  
  
    
  This is the 2nd time I purchased this item.  The first box was great!!!!  The second box...not so much!  About 80% of the pencils do not sharpen well, they grind up the wood, but the lead doesn't sharpen to a point.  NO...it is not the sharpener.  I'm going to purchase one more box and see what happens.

  
",3.0 out of 5 stars
"









  
  
    
  These pencils are hot garbage. I tried to save a few bucks but I have to sharpen half the pencil away to get to a piece I can use for 10 minutes and then 1"" of graphite falls out of the tip and I have to grind away the rest of the pencil. I have been using about 1 pencil per sheet of paper and sharpening 3-4 times per sheet.

  
",2.0 out of 5 stars
"









  
  
    
  I am the equipment manager for a duplicate bridge unit and we provide pencils for scoring at each table for tournaments. The pre-sharpened pencils save a lot of time as we do not have to sharpen before putting on tables. It also saves our electric pencil sharpeners a lot of wear.

  
",5.0 out of 5 stars
"









  
  
    
  If you are needing a bunch of pencils for cheap, go for these... but not if you want them to hold up in a classroom of 40 kiddos!  These pencils are constantly needing sharpening, but do not sharpen evenly and always crack and break after a couple of minutes of use.

  
",2.0 out of 5 stars
"









  
  
    
  I buy these every year for my oldest child’s classroom at the beginning of the school year. They sharpen well and seem to hold up. I know presharpened pencils make a teacher’s life easier. They aren’t Ticonderoga but they are just as good in my opinion.

  
",5.0 out of 5 stars
"









  
  
    
  I am a teacher, and I always buy a box of these as our pencils seem to disappear into thin air. They are good quality. Work well with classroom sharpener and erasers are great. No smudging. I love that they are presharpened. Can just grab and give without missing a beat from lesson..

  
",5.0 out of 5 stars
"









  
  
    
  Love the pencils. Been using mechanical ones for a while and it is cheaper to buy the pencils. I would recommend this item to everyone.

  
",5.0 out of 5 stars
"









  
  
    
  These were a great purchase to donate to the classroom. Just a giant box of presharpened pencils. Handy for the teacher.

  
",5.0 out of 5 stars
"









  
  
    
  Cheap pencils: generally, when you sharpen them the graphite? lead? falls out easily making it a useless pencil.  I'm pretty sure these cheap pencils are pretty decent.  Good price for a lot of pencils, great for a teacher with students who don't have pencils.

  
",5.0 out of 5 stars
"









  
  
    
  Good pencils.  Great quality.  The basket holding them is from Amazon Basics too.

  
",5.0 out of 5 stars
"









  
  
    
  They are pencils :) them being sharpened out of the box is great for a remote environment and price was amazing.

  
",5.0 out of 5 stars
"









  
  
    
  I'm homeschooling 3 kids and constantly running out of pencils. I feel like this was a great price for the number of pencils and they are very sturdy and sharpen well. Definitely will buy again!

  
",5.0 out of 5 stars
"









  
  
    
  I got these for my child’s teacher off her wish list. The items came fast and was just what she needed for kids that were missing what they need. It’ll be great for her to have everything she needs for the start of this rough school year.

  
",5.0 out of 5 stars
"









  
  
    
  It is a very poor quality when you sharpen it part of it keeps breaking it's feels like wood chip material instead of quality pencil very disappointed

  
",3.0 out of 5 stars
"









  
  
    
  Bought this many times. Love that they come pre sharpened. Never have to hear your kids whining about a sharpener

  
",5.0 out of 5 stars
"









  
  
    
  Pencils were bought for gifts.  Pthey haven’t been used yet but I’m sure the people receiving them will like them.

  
",5.0 out of 5 stars
"









  
  
    
  As a teacher, I can't even tell you how much I LOVE pre-sharpened pencils. Seriously. If you're a teacher, or a super nice parent, pre-sharpened pencils change lives!!! These are a great value, and I definitely will be buying them again!

  
",5.0 out of 5 stars
"









  
  
    
  I bought these for my students to use. They came sharpened already. They should work great, they are pencils.

  
",5.0 out of 5 stars
"









  
  
    
  As a teacher, sharpening pencils seems like a never ending task. These pencils come sharpened and are a great quality for the price.

  
",5.0 out of 5 stars
"









  
  
    
  I bought these pre-sharpened pencils for in my woodworking shop, because I keep losing pencils or breaking pencil tips on wood!  But as I sharpened these Amazon Basics pencils, the tips were rough to the touch no matter how I sharpened them in my hand crank burr sharpener.  Likely won't buy again.

  
",1.0 out of 5 stars
"









  
  
    
  They work great. Dont need pencils for at less three year lol but purchased they because I have three kids that use they all the time.

  
",5.0 out of 5 stars
"









  
  
    
  The pencils were supposed to be sharpened and they came unsharpened.  Open them the day of an assessment to find them unusable since I purchased them for the convenience of not having to sit and sharpen enough for the two classes.  Not happy and didn't want to have to go through the hassle of returning them.

  
",1.0 out of 5 stars
"









  
  
    
  All pre sharpened, thumbs up on that. My  kinda gardener thinks it’s pretty cool to have so many pencils😎thank you.

  
",5.0 out of 5 stars
"









  
  
    
  I donated 2 boxes of them to my grandsons school The pencils are great. Even greater is that they are all sharpened so teachers don't have to worry about getting them sharpened.

  
",5.0 out of 5 stars
"









  
  
    
  It feels like such a luxury to have a big box of pre sharpened pencils! When a student asks for a pencil, I just hand it over. Saves a lot of class time! Great quality.

  
",5.0 out of 5 stars
"









  
  
    
  A lot of pencils for the price. They do break kind of easily and don’t sharpen the best, but can’t beat the price.

  
",5.0 out of 5 stars
"









  
  
    
  I didn’t pay a lot for the sharpening and it’s good because the pencils are sharpened poorly. They are not safe for students to use. They have to be sharpened again. Strangely enough there too sharp but not enough lead.

  
",3.0 out of 5 stars
"









  
  
    
  The pencils seem to be a lighter weight than what I'm used to. They print a but light as well. But good for the price.

  
",4.0 out of 5 stars
"









  
  
    
  All in all they write well and withstand the wear and tear of a third grade classroom. That  being said, they do not sharpen in my high quality electric pencil sharpener as well as some of the other brands.

  
",3.0 out of 5 stars
"









  
  
    
  I agree with most viewers who complained about these pencils. They’re the worst. You can’t sharpen them the lead falls right out. Not happy

  
",2.0 out of 5 stars
"









  
  
    
  Great pencils. I love they came sharpened. These will last a long time. I recommend these pencils.But!

  
",5.0 out of 5 stars
"









  
  
    
  I'm really surprised with the amount of pencils I received. They were pre-sharpened as well. Would buy again.

  
",5.0 out of 5 stars
"









  
  
    
  Great product.  These pre-sharpened pencils are perfect for my grandkids to grab on the way out the door to school and not have to worry about getting them sharpened before class starts. 10th, 9th, and 7th grades!

  
",5.0 out of 5 stars
"









  
  
    
  Good pencils all sharpened.If you prefer pencils over pens etc these are decent for the price.

  
",5.0 out of 5 stars
"









  
  
    
  What can you say about them except they came in pre-sharpened and are a great value for the price.

  
",5.0 out of 5 stars
"









  
  
    
  The ferrule holding the eraser in place bends and snaps with little use leaving the pencil without an eraser.

  
",1.0 out of 5 stars
"









  
  
    
  I don’t think I will ever buy pencils out of the store again. These are some good pencils. They were such a great deal.

  
",5.0 out of 5 stars
"









  
  
    
  Great buy for back to school kiddos.  My 9 year old is always losing his pencils.  So this is a great way of keeping track and also having back up pencils, just in case.

  
",5.0 out of 5 stars
"









  
  
    
  I may have been assumptive about what the quality of an amazon made product was going to be like. It actually turned out really good. Perfect for my homeschool kids.

  
",5.0 out of 5 stars
"









  
  
    
  Nice gift for the class for Back to School. I love to gift the teachers since they work so hard with kids all day and usually spend out of pocket for the kids. Teachers love it!

  
",5.0 out of 5 stars
"









  
  
    
  These pencils are great. We buy them for our homeschool and micro school every year. They never disappoint,  the erasers are great and they sharpen really well. Highly recommend.

  
",5.0 out of 5 stars
"









  
  
    
  These are good if you just need sharpened pencils for one time use. They do not sharpen well so I wouldn’t buy them again for classroom use. I had to throw several away because they wouldn’t sharpen.

  
",3.0 out of 5 stars
"









  
  
    
  It's a big box of pencils... they come sharpened and they work like a traditional number 2 pencil. I'm a teacher and you can't have enough of these things around your classroom, home office, kids work area, etc...

  
",5.0 out of 5 stars
"









  
  
    
  I am a teacher and having presharened pencils is invaluable!!!  Such a time saver and the best of all, not having to hear the loud pencil sharpener constantly!  I loved these so much I bought more as gifts for other teachers!

  
",5.0 out of 5 stars
"









  
  
    
  Once you need to sharpen the pencils the lead is broken on the inside, every single time you sharpen the pencil and use the tip brakes off because the lead is broken. Terrible pencils.

  
",1.0 out of 5 stars
"









  
  
    
  I bought these at the beginning of the school year. Love that they are presharpened!! Allows me to just hand a student a pencil and get back to teaching. Good quality pencils that sharpen evenly. Ordering another set for 2nd semester.

  
",5.0 out of 5 stars
"









  
  
    
  Great bargin  for this many pencils.  Comes in handy  when the kids always lose their pencils  at school. Great for sharing with other kids in the class room.

  
",5.0 out of 5 stars
"









  
  
    
  I like these pencils. I like the price and that fact that it is a lot. My students are always needing pencils so I decided to buy this because it has a lot in it.

  
",5.0 out of 5 stars
"









  
  
    
  Ordered these for a middle school teacher so her students would always have a pencil to do their work. Bonus, they were pre-sharpened!

  
",5.0 out of 5 stars
"









  
  
    
  Splurged on these pencils to save myself time and score some points with my son's teacher by showing up with more than needed and already sharpened. Arrived promptly, sturdy box,beautifully sharpened and ready to crunch numbers, write and draw!Splurge, its worth it.

  
",5.0 out of 5 stars
