text,rate
"









  
  
    
  These are great for my grade school kids. They are presharpened saving me tons of time come early September when we're fill pencil boxes for back to school. I don't even think a single pencil tip was broken upon arrival. The erasers work decent though I tend to give my kids pencil caps to use anyway. This box of 150 should last me 2 or 3 school years if not more. I purchased a second box to donate to one of my children's teachers and they were extremely appreciative.

  
",5.0 out of 5 stars
"









  
  
    
  I don't know what type of pencil sharpener they are using but these can hardly be called pre-sharpened.  The points are flat and have like 1/32"" tip that goes away after first use.  I'll end up having to buy a sharpener and resharpen these.  Otherwise they seem like any other pencil.

  
",3.0 out of 5 stars
"









  
  
    
  Bought these pencils for my first grade classroom. As much as 6 & 7yr olds firmly press down while they write, they have lasted a long time.

  
",5.0 out of 5 stars
"









  
  
    
  I am always, so far, happy with any Amazon Basics purchases I have made. This is no exception to that.I gave two of my children dozens of these when school started, and probably will still have a lot of them when school starts again next August. The beauty of these is that they are already sharpened, and they store in their box perfectly.

  
",5.0 out of 5 stars
"









  
  
    
  Good pencils- all of them came sharpened with a nice point. Perfect gift for teachers or for parents with school-aged children. Saves a bit of time and sanity since these are pre-sharpened!Update: Just wanted to add that these pencils lasted a long time. They don’t break easily and the erasers don’t get hard/unusable even after being placed in storage for a while.

  
",5.0 out of 5 stars
"









  
  
    
  These pencils will not sharpen properly.  Most of the time the lead breaks off. I have tried two different pencil sharpeners and it's the same with both of them.  My recommendation is to spend a bit more and get pencils that are functional.

  
",1.0 out of 5 stars
"









  
  
    
  Got these for the kids I teach to use during testing.  For the $ It was a good value for the quantity you get.  They were light weight and average in thickness. It comes already Sharpened which was good.  It didn’t feel that sturdy or solid to me. Some of the pencils I used already or the students used did the job but some students they tend to push down on theirs to hard and end up braking the tip.  Resharpening the pencils was just ok also.  It didn’t feel solid and some of the lead actually was looser and you could remove it which wasn’t good !  The eraser worked pretty good I can say.  It’s a hit and miss with these.  Good thing was you get a lot of pencils to go thru and hopefully they are not all the same.  So you’ll find good ones in the pack eventually on a good note !

  
",3.0 out of 5 stars
"









  
  
    
  Really fantastic product for the price I need 30 pencils for under five bucks can't beat that and they work just like them they are amazing they're sturdy they don't feel like they're going to snap whenever you're riding or if he tries to bend them just because it's amazonbasics friend does not make it any cheaper it's just as sturdy as any other brand that she would get out of the store awesome product

  
",5.0 out of 5 stars
"









  
  
    
  Purchased these for my classroom thinking I was getting a wonderful deal, especially since they are already sharpened. We've had nothing but problems since. Every pencil I've sharpened breaks almost immediately. It's like the lead is broken inside the pencils or something. In a week, we've probably gone through 60 pencils, sharpened down to a nub. I'll stick with Ticonderoga!

  
",1.0 out of 5 stars
"









  
  
    
  The lead in the pencils I received were not in the center, so when I sharpen them with a pencil sharpener, I get a wood tip instead of a lead tip. 🙁

  
",1.0 out of 5 stars
